study_id,phs,title,s3_file_id,file_name,file_structure,s3_file_path,file_category_id
27,phs002679,Wastewater Detection of COVID-19,13706,rad_015_893-01_alphanum_META_origcopy_v1.json,phs002679/13706/rad_015_893-01_alphanum_META_origcopy_v1.json,covid-radx-default/b4a18b82-4626-11ec-a561-9e4df42bafff/rad_015_893-01_alphanum_META_origcopy_v1.json,Metadata - Non-harmonized
29,phs002685,DNA Star SARS-CoV-2 Rapid Test,25759,rad_020_852-01_TechnologyDescription_META_origcopy.json,phs002685/25759/rad_020_852-01_TechnologyDescription_META_origcopy.json,covid-radx-review/cc181fec-4626-11ec-af52-9e4df42bafff/2593/rad_020_852-01_TechnologyDescription_META_origcopy.json,Metadata - Non-harmonized
29,phs002685,DNA Star SARS-CoV-2 Rapid Test,25764,rad_020_852-01_AnalyticalPerformanceMetrics_META_origcopy.json,phs002685/25764/rad_020_852-01_AnalyticalPerformanceMetrics_META_origcopy.json,covid-radx-review/cc181fec-4626-11ec-af52-9e4df42bafff/2593/rad_020_852-01_AnalyticalPerformanceMetrics_META_origcopy.json,Metadata - Non-harmonized
29,phs002685,DNA Star SARS-CoV-2 Rapid Test,25768,rad_020_852-01_SpikedSamples_META_origcopy.json,phs002685/25768/rad_020_852-01_SpikedSamples_META_origcopy.json,covid-radx-review/cc181fec-4626-11ec-af52-9e4df42bafff/2593/rad_020_852-01_SpikedSamples_META_origcopy.json,Metadata - Non-harmonized
29,phs002685,DNA Star SARS-CoV-2 Rapid Test,25763,rad_020_852-01_SpikedSampleResults_META_origcopy.json,phs002685/25763/rad_020_852-01_SpikedSampleResults_META_origcopy.json,covid-radx-review/cc181fec-4626-11ec-af52-9e4df42bafff/2593/rad_020_852-01_SpikedSampleResults_META_origcopy.json,Metadata - Non-harmonized
29,phs002685,DNA Star SARS-CoV-2 Rapid Test,25767,rad_020_852-01_vqa_META_origcopy.json,phs002685/25767/rad_020_852-01_vqa_META_origcopy.json,covid-radx-review/cc181fec-4626-11ec-af52-9e4df42bafff/2593/rad_020_852-01_vqa_META_origcopy.json,Metadata - Non-harmonized
30,phs002689,A Rapid Saliva Antigen Test for SARS-CoV-2 Detection,25601,rad_035_5-07S1_Clinical_Samples_Lee_Biosolutions_META_origcopy_v1.json,phs002689/25601/rad_035_5-07S1_Clinical_Samples_Lee_Biosolutions_META_origcopy_v1.json,covid-radx-default/d4bea760-4626-11ec-a271-9e4df42bafff/rad_035_5-07S1_Clinical_Samples_Lee_Biosolutions_META_origcopy_v1.json,Metadata - Non-harmonized
30,phs002689,A Rapid Saliva Antigen Test for SARS-CoV-2 Detection,25613,rad_035_5-07S1_Performance_Metrics_META_origcopy_v1.json,phs002689/25613/rad_035_5-07S1_Performance_Metrics_META_origcopy_v1.json,covid-radx-default/d4bea760-4626-11ec-a271-9e4df42bafff/rad_035_5-07S1_Performance_Metrics_META_origcopy_v1.json,Metadata - Non-harmonized
30,phs002689,A Rapid Saliva Antigen Test for SARS-CoV-2 Detection,25622,rad_035_5-07S1_Spike_Glycoprotein_Samples_Wild_Type_Results_META_origcopy_v1.json,phs002689/25622/rad_035_5-07S1_Spike_Glycoprotein_Samples_Wild_Type_Results_META_origcopy_v1.json,covid-radx-default/d4bea760-4626-11ec-a271-9e4df42bafff/rad_035_5-07S1_Spike_Glycoprotein_Samples_Wild_Type_Results_META_origcopy_v1.json,Metadata - Non-harmonized
30,phs002689,A Rapid Saliva Antigen Test for SARS-CoV-2 Detection,25634,rad_035_5-07S1_VQA_Panel_META_origcopy_v1.json,phs002689/25634/rad_035_5-07S1_VQA_Panel_META_origcopy_v1.json,covid-radx-default/d4bea760-4626-11ec-a271-9e4df42bafff/rad_035_5-07S1_VQA_Panel_META_origcopy_v1.json,Metadata - Non-harmonized
30,phs002689,A Rapid Saliva Antigen Test for SARS-CoV-2 Detection,25616,rad_035_5-07S1_Spike_Glycoprotein_Samples_Omicron_META_origcopy_v1.json,phs002689/25616/rad_035_5-07S1_Spike_Glycoprotein_Samples_Omicron_META_origcopy_v1.json,covid-radx-default/d4bea760-4626-11ec-a271-9e4df42bafff/rad_035_5-07S1_Spike_Glycoprotein_Samples_Omicron_META_origcopy_v1.json,Metadata - Non-harmonized
30,phs002689,A Rapid Saliva Antigen Test for SARS-CoV-2 Detection,25607,rad_035_5-07S1_Cross_Reactivity_Sample_META_origcopy_v1.json,phs002689/25607/rad_035_5-07S1_Cross_Reactivity_Sample_META_origcopy_v1.json,covid-radx-default/d4bea760-4626-11ec-a271-9e4df42bafff/rad_035_5-07S1_Cross_Reactivity_Sample_META_origcopy_v1.json,Metadata - Non-harmonized
30,phs002689,A Rapid Saliva Antigen Test for SARS-CoV-2 Detection,25610,rad_035_5-07S1_Cross_Reactivity_Sample_Results_META_origcopy_v1.json,phs002689/25610/rad_035_5-07S1_Cross_Reactivity_Sample_Results_META_origcopy_v1.json,covid-radx-default/d4bea760-4626-11ec-a271-9e4df42bafff/rad_035_5-07S1_Cross_Reactivity_Sample_Results_META_origcopy_v1.json,Metadata - Non-harmonized
30,phs002689,A Rapid Saliva Antigen Test for SARS-CoV-2 Detection,25637,rad_035_5-07S1_Spike_Glycoprotein_Samples_Wild_Type_Results_META_origcopy_v1.json,phs002689/25637/rad_035_5-07S1_Spike_Glycoprotein_Samples_Wild_Type_Results_META_origcopy_v1.json,covid-radx-default/d4bea760-4626-11ec-a271-9e4df42bafff/rad_035_5-07S1_Spike_Glycoprotein_Samples_Wild_Type_Results_META_origcopy_v1.json,Metadata - Non-harmonized
30,phs002689,A Rapid Saliva Antigen Test for SARS-CoV-2 Detection,25625,rad_035_5-07S1_Spiked_Samples_META_origcopy_v1.json,phs002689/25625/rad_035_5-07S1_Spiked_Samples_META_origcopy_v1.json,covid-radx-default/d4bea760-4626-11ec-a271-9e4df42bafff/rad_035_5-07S1_Spiked_Samples_META_origcopy_v1.json,Metadata - Non-harmonized
30,phs002689,A Rapid Saliva Antigen Test for SARS-CoV-2 Detection,25628,rad_035_5-07S1_Spiked_Samples_Results_META_origcopy_v1.json,phs002689/25628/rad_035_5-07S1_Spiked_Samples_Results_META_origcopy_v1.json,covid-radx-default/d4bea760-4626-11ec-a271-9e4df42bafff/rad_035_5-07S1_Spiked_Samples_Results_META_origcopy_v1.json,Metadata - Non-harmonized
30,phs002689,A Rapid Saliva Antigen Test for SARS-CoV-2 Detection,25631,rad_035_5-07S1_Technology_Description_META_origcopy_v1.json,phs002689/25631/rad_035_5-07S1_Technology_Description_META_origcopy_v1.json,covid-radx-default/d4bea760-4626-11ec-a271-9e4df42bafff/rad_035_5-07S1_Technology_Description_META_origcopy_v1.json,Metadata - Non-harmonized
30,phs002689,A Rapid Saliva Antigen Test for SARS-CoV-2 Detection,25619,rad_035_5-07S1_Spike_Glycoprotein_Samples_Omicron_Results_META_origcopy_v1.json,phs002689/25619/rad_035_5-07S1_Spike_Glycoprotein_Samples_Omicron_Results_META_origcopy_v1.json,covid-radx-default/d4bea760-4626-11ec-a271-9e4df42bafff/rad_035_5-07S1_Spike_Glycoprotein_Samples_Omicron_Results_META_origcopy_v1.json,Metadata - Non-harmonized
30,phs002689,A Rapid Saliva Antigen Test for SARS-CoV-2 Detection,25604,rad_035_5-07S1_Clinical_Samples_Lee_Biosolutions_Results_META_origcopy_v1.json,phs002689/25604/rad_035_5-07S1_Clinical_Samples_Lee_Biosolutions_Results_META_origcopy_v1.json,covid-radx-default/d4bea760-4626-11ec-a271-9e4df42bafff/rad_035_5-07S1_Clinical_Samples_Lee_Biosolutions_Results_META_origcopy_v1.json,Metadata - Non-harmonized
41,phs002544,AFS/SERS Saliva-Based SARS-CoV-2 Earliest Infection and Antibodies Detection,15281,rad_018_778-01_Ab_EFIRM_SPIKEDSAMPLE_META_origcopy_v1.json,phs002544/15281/rad_018_778-01_Ab_EFIRM_SPIKEDSAMPLE_META_origcopy_v1.json,covid-radx-default/cad6e5ec-4634-11ec-829e-9e4df42bafff/rad_018_778-01_Ab_EFIRM_SPIKEDSAMPLE_META_origcopy_v1.json,Metadata - Non-harmonized
41,phs002544,AFS/SERS Saliva-Based SARS-CoV-2 Earliest Infection and Antibodies Detection,15285,rad_018_778-01_Ab_EFIRM_SPIKEDSAMPLERESULTS_META_origcopy_v1.json,phs002544/15285/rad_018_778-01_Ab_EFIRM_SPIKEDSAMPLERESULTS_META_origcopy_v1.json,covid-radx-default/cad6e5ec-4634-11ec-829e-9e4df42bafff/rad_018_778-01_Ab_EFIRM_SPIKEDSAMPLERESULTS_META_origcopy_v1.json,Metadata - Non-harmonized
41,phs002544,AFS/SERS Saliva-Based SARS-CoV-2 Earliest Infection and Antibodies Detection,15291,rad_018_778-01_Ab_EFIRM_TECHNOLOGYDESCRIPTION_META_origcopy_v1.json,phs002544/15291/rad_018_778-01_Ab_EFIRM_TECHNOLOGYDESCRIPTION_META_origcopy_v1.json,covid-radx-default/cad6e5ec-4634-11ec-829e-9e4df42bafff/rad_018_778-01_Ab_EFIRM_TECHNOLOGYDESCRIPTION_META_origcopy_v1.json,Metadata - Non-harmonized
41,phs002544,AFS/SERS Saliva-Based SARS-CoV-2 Earliest Infection and Antibodies Detection,15296,rad_018_778-01_EFIRMANALYTICALPERFORMANCEMETRIC_Antigen_META_origcopy_v1.json,phs002544/15296/rad_018_778-01_EFIRMANALYTICALPERFORMANCEMETRIC_Antigen_META_origcopy_v1.json,covid-radx-default/cad6e5ec-4634-11ec-829e-9e4df42bafff/rad_018_778-01_EFIRMANALYTICALPERFORMANCEMETRIC_Antigen_META_origcopy_v1.json,Metadata - Non-harmonized
